PLAYER_Team,PLAYER_GW,PLAYER_Fixture_date,PLAYER_Opponent,FIX_Home?,TEMP_team_goals,TEMP_opp_goals,TEMP_points_gained
Everton,30,2020-06-21,Liverpool,1,,,
Everton,31,2020-06-24,Norwich,0,,,
Everton,32,2020-07-01,Leicester,1,,,
Everton,33,2020-07-04,Spurs,0,,,
Everton,34,2020-07-08,Southampton,1,,,
Everton,35,2020-07-11,Wolves,0,,,
Everton,36,2020-07-15,Aston Villa,1,,,
Everton,37,2020-07-18,Sheffield Utd,0,,,
Everton,38,2020-07-26,Bournemouth,1,,,
Norwich,1,2019-08-09,Liverpool,0,1,4,1
Norwich,2,2019-08-17,Newcastle,1,3,1,3
Norwich,3,2019-08-24,Chelsea,1,2,3,2
Norwich,4,2019-08-31,West Ham,0,0,2,0
Norwich,5,2019-09-14,Man City,1,3,2,3
Norwich,6,2019-09-21,Burnley,0,0,2,0
Norwich,7,2019-09-28,Crystal Palace,0,0,2,0
Norwich,8,2019-10-05,Aston Villa,1,1,5,1
Norwich,9,2019-10-19,Bournemouth,0,0,0,1
Norwich,10,2019-10-27,Man Utd,1,1,3,1
Norwich,11,2019-11-02,Brighton,0,0,2,0
Norwich,12,2019-11-08,Watford,1,0,2,0
Norwich,13,2019-11-23,Everton,0,2,0,3
Norwich,14,2019-12-01,Arsenal,1,2,2,1
Norwich,15,2019-12-04,Southampton,0,1,2,1
Norwich,16,2019-12-08,Sheffield Utd,1,1,2,1
Norwich,17,2019-12-14,Leicester,0,1,1,1
Norwich,18,2019-12-21,Wolves,1,1,2,1
Norwich,19,2019-12-26,Aston Villa,0,0,1,0
Norwich,20,2019-12-28,Spurs,1,2,2,1
Norwich,21,2020-01-01,Crystal Palace,1,1,1,1
Norwich,22,2020-01-11,Man Utd,0,0,4,0
Norwich,23,2020-01-18,Bournemouth,1,1,0,3
Norwich,24,2020-01-22,Spurs,0,1,2,1
Norwich,25,2020-02-01,Newcastle,0,0,0,1
Norwich,26,2020-02-15,Liverpool,1,0,1,0
Norwich,27,2020-02-23,Wolves,0,0,3,0
Norwich,28,2020-02-28,Leicester,1,1,0,3
Norwich,29,2020-03-07,Sheffield Utd,0,0,1,0
Norwich,30,2020-06-19,Southampton,1,,,
Norwich,31,2020-06-24,Everton,1,,,
Norwich,32,2020-07-01,Arsenal,0,,,
Norwich,33,2020-07-04,Brighton,1,,,
Norwich,34,2020-07-08,Watford,0,,,
Norwich,35,2020-07-11,West Ham,1,,,
Norwich,36,2020-07-15,Chelsea,0,,,
Norwich,37,2020-07-18,Burnley,1,,,
Norwich,38,2020-07-26,Man City,0,,,
Southampton,1,2019-08-10,Burnley,0,0,3,0
Southampton,2,2019-08-17,Liverpool,1,1,2,1
Southampton,3,2019-08-24,Brighton,0,2,0,3
Southampton,4,2019-08-31,Man Utd,1,1,1,1
Southampton,5,2019-09-14,Sheffield Utd,0,1,0,3
Southampton,6,2019-09-20,Bournemouth,1,1,3,1
Southampton,7,2019-09-28,Spurs,0,1,2,1
Southampton,8,2019-10-06,Chelsea,1,1,4,1
Southampton,9,2019-10-19,Wolves,0,1,1,1
Southampton,10,2019-10-25,Leicester,1,0,9,0
Southampton,11,2019-11-02,Man City,0,1,2,1
Southampton,12,2019-11-09,Everton,1,1,2,1
Southampton,13,2019-11-23,Arsenal,0,2,2,1
Southampton,14,2019-11-30,Watford,1,2,1,3
Southampton,15,2019-12-04,Norwich,1,2,1,3
Southampton,16,2019-12-08,Newcastle,0,1,2,1
Southampton,17,2019-12-14,West Ham,1,0,1,0
Southampton,18,2019-12-21,Aston Villa,0,3,1,3
Southampton,19,2019-12-26,Chelsea,0,2,0,3
Southampton,20,2019-12-28,Crystal Palace,1,1,1,1
Southampton,21,2020-01-01,Spurs,1,1,0,3
Southampton,22,2020-01-11,Leicester,0,2,1,3
Southampton,23,2020-01-18,Wolves,1,2,3,2
Southampton,24,2020-01-21,Crystal Palace,0,2,0,3
Southampton,25,2020-02-01,Liverpool,0,0,4,0
Southampton,26,2020-02-15,Burnley,1,1,2,1
Southampton,27,2020-02-22,Aston Villa,1,2,0,3
Southampton,28,2020-02-29,West Ham,0,1,3,1
Southampton,29,2020-03-07,Newcastle,1,0,1,0
Southampton,30,2020-06-19,Norwich,0,,,
Southampton,31,2020-06-25,Arsenal,1,,,
Southampton,32,2020-06-28,Watford,0,,,
Southampton,33,2020-07-04,Man City,1,,,
Southampton,34,2020-07-08,Everton,0,,,
Southampton,35,2020-07-11,Man Utd,0,,,
Southampton,36,2020-07-15,Brighton,1,,,
Southampton,37,2020-07-18,Bournemouth,0,,,
Southampton,38,2020-07-26,Sheffield Utd,1,,,
Man City,1,2019-08-10,West Ham,0,5,0,3
Man City,2,2019-08-17,Spurs,1,2,2,1
